02/09/2016 20:21:28:812 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:28:869 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF7F0)' ...
02/09/2016 20:21:28:869 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:29:037 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:29:378 [07268] | INFO  | Loading effect from "C:\Guild Wars 2\bin64\ReShade.fx" ...
02/09/2016 20:21:32:421 [07268] | INFO  | > Successfully compiled effect.
02/09/2016 20:21:32:870 [07268] | INFO  | > Resizing image data for texture 'lensDBTex' from 1024x576 to 1920x1080 ...
02/09/2016 20:21:46:901 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF6B0)' ...
02/09/2016 20:21:46:902 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:47:147 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:47:466 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF7F0)' ...
02/09/2016 20:21:47:466 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:47:642 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:21:48:007 [07268] | INFO  | Loading effect from "C:\Guild Wars 2\bin64\ReShade.fx" ...
02/09/2016 20:21:51:654 [07268] | INFO  | > Successfully compiled effect.
02/09/2016 20:21:52:168 [07268] | INFO  | > Resizing image data for texture 'lensDBTex' from 1024x576 to 1920x1080 ...
02/09/2016 20:25:06:328 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF890)' ...
02/09/2016 20:25:06:329 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:25:07:100 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:25:08:586 [07268] | INFO  | Loading effect from "C:\Guild Wars 2\bin64\ReShade.fx" ...
02/09/2016 20:25:11:670 [07268] | INFO  | > Successfully compiled effect.
02/09/2016 20:25:12:114 [07268] | INFO  | > Resizing image data for texture 'lensDBTex' from 1024x576 to 1920x1080 ...
02/09/2016 20:29:01:249 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF6B0)' ...
02/09/2016 20:29:01:249 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:29:01:545 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:29:01:685 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF7F0)' ...
02/09/2016 20:29:01:685 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:29:01:854 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:29:02:138 [07268] | INFO  | Loading effect from "C:\Guild Wars 2\bin64\ReShade.fx" ...
02/09/2016 20:29:05:250 [07268] | INFO  | > Successfully compiled effect.
02/09/2016 20:29:05:682 [07268] | INFO  | > Resizing image data for texture 'lensDBTex' from 1024x576 to 1920x1080 ...
02/09/2016 20:37:30:756 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF890)' ...
02/09/2016 20:37:30:756 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:37:31:497 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:37:32:340 [07268] | INFO  | Loading effect from "C:\Guild Wars 2\bin64\ReShade.fx" ...
02/09/2016 20:37:35:354 [07268] | INFO  | > Successfully compiled effect.
02/09/2016 20:37:35:775 [07268] | INFO  | > Resizing image data for texture 'lensDBTex' from 1024x576 to 1920x1080 ...
02/09/2016 20:40:58:058 [08876] | INFO  | Redirecting 'IDirect3DDevice9::Reset(0000017CF3E6CF10, 000000775C7FF890)' ...
02/09/2016 20:40:58:059 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:40:58:802 [08876] | INFO  | Recreated runtime environment on runtime 0000017CECC92740.
02/09/2016 20:40:59:756 [07268] | INFO  | Loading effect from "C:\Guild Wars 2\bin64\ReShade.fx" ...
02/09/2016 20:41:02:785 [07268] | INFO  | > Successfully compiled effect.
02/09/2016 20:41:03:201 [07268] | INFO  | > Resizing image data for texture 'lensDBTex' from 1024x576 to 1920x1080 ...
02/09/2016 20:41:12:669 [08876] | INFO  | Destroyed runtime environment on runtime 0000017CECC92740.
02/09/2016 20:41:13:261 [07432] | INFO  | Exiting ...
02/09/2016 20:41:13:261 [07432] | INFO  | Uninstalling 38 hook(s) ...
02/09/2016 20:41:13:826 [07432] | INFO  | Exited.
